ID;Aktywny (0 lub 1);Nazwa;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;W sprzedaży (0 lub 1);Wartość rabatu;Cena z podatkiem;Ilość;Meta-tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;Adresy URL zdjęcia (x,y,z...);Opis
1;1;Kurtka zimowa męska pikowana czarna OZONEE JS/22M61/392;kurtki zimowe meskie;1;5;1;110.0;329.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka zimowa męska pikowana czarna OZONEE JS/22M61/392;kurtki-zimowe-meskie-1;http://wieczynska.pl/zdjecia/kurtkizimowemeskie1.jpg;KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, OCIEPLANA W ŚRODKU, POSIADA ODPINANY KAPTUR, RĘKAWY ZE ŚCIĄGACZEM, PO DWIE KIESZENIE PO BOKACH NA ZAMEK ORAZ JEDNĄ KIESZEŃ W ŚRODKU, MATERIAŁ 100% POLIESTER, MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR XL/54.
2;1;Kurtka zimowa męska pikowana czarna OZONEE JS/22M60/392Z;kurtki zimowe meskie;1;5;1;110.0;329.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka zimowa męska pikowana czarna OZONEE JS/22M60/392Z;kurtki-zimowe-meskie-2;http://wieczynska.pl/zdjecia/kurtkizimowemeskie2.jpg;KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, OCIEPLANA W ŚRODKU, POSIADA ODPINANY KAPTUR, RĘKAWY ZE ŚCIĄGACZEM, PO DWIE KIESZENIE PO BOKACH ORAZ JEDNĄ KIESZEŃ W ŚRODKU, MATERIAŁ 100% POLIESTER, MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR XL/54.
3;1;Kurtka zimowa męska pikowana czarna OZONEE N/7330Z;kurtki zimowe meskie;1;5;1;130.0;399.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka zimowa męska pikowana czarna OZONEE N/7330Z;kurtki-zimowe-meskie-3;http://wieczynska.pl/zdjecia/kurtkizimowemeskie3.jpg;KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, ZAPINANA NA ZAMEK I NAPY, POSIADA KAPTUR, OZDOBNE ZAMKI PO BOKACH, MODNE PIKOWANIA, KIESZENIE PO BOKACH ORAZ JEDNĄ KIESZEŃ W ŚRODKU, MATERIAŁ 100% POLIESTER, MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR L.
4;1;Kurtka zimowa męska pikowana granatowa OZONEE N/7330Z;kurtki zimowe meskie;1;5;1;130.0;399.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka zimowa męska pikowana granatowa OZONEE N/7330Z;kurtki-zimowe-meskie-4;http://wieczynska.pl/zdjecia/kurtkizimowemeskie4.jpg;KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, ZAPINANA NA ZAMEK I NAPY, POSIADA KAPTUR, OZDOBNE ZAMKI PO BOKACH, MODNE PIKOWANIA, KIESZENIE PO BOKACH ORAZ JEDNĄ KIESZEŃ W ŚRODKU, MATERIAŁ 100% POLIESTER, MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR L.
5;1;Kurtka zimowa męska skórzana czarna OZONEE O/M795;kurtki zimowe meskie;1;5;1;100.0;299.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka zimowa męska skórzana czarna OZONEE O/M795;kurtki-zimowe-meskie-5;http://wieczynska.pl/zdjecia/kurtkizimowemeskie5.jpg;KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, WYKONANA Z EKOSKÓRY, POSIADA KOŁNIERZYK Z FUTERKIEM, KIESZENIE PO BOKACH NA ZAMEK ORAZ KIESZEŃ WEWNĘTRZNĄ, MATERIAŁ 100% POLIURETAN, PODSZEWKA 100% POLIESTER, MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR L.
6;1;Kurtka skórzana męska czarna OZONEE O/M796Z;kurtki zimowe meskie;1;5;1;90.0;269.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka skórzana męska czarna OZONEE O/M796Z;kurtki-zimowe-meskie-6;http://wieczynska.pl/zdjecia/kurtkizimowemeskie6.jpg;KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, WYKONANA Z EKOSKÓRY, POSIADA MODNE PIKOWANIA, KIESZENIE PO BOKACH NA ZAMEK ORAZ KIESZEŃ WEWNĘTRZNĄ, MATERIAŁ 100% POLIURETAN, PODSZEWKA 100% POLIESTER, MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR M.
7;1;Kurtka męska przejściowa czarna/2 OZONEE JB/JP1111Z;kurtki zimowe meskie;1;5;1;50.0;149.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka męska przejściowa czarna/2 OZONEE JB/JP1111Z;kurtki-zimowe-meskie-7;http://wieczynska.pl/zdjecia/kurtkizimowemeskie7.jpg;"KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, ZAPINANA NA ZAMEK, POSIADA MODNE PIKOWANIA, DÓŁ I RĘKAWY ZE ŚCIĄGACZEM ORAZ KIESZENIE PO BOKACH I JEDNĄ W ŚRODKU, MATERIAŁ: 100% POLIESTER; MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR L."
8;1;Kurtka męska przejściowa czarna OZONEE JB/JP1111Z;kurtki zimowe meskie;1;5;1;50.0;149.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka męska przejściowa czarna OZONEE JB/JP1111Z;kurtki-zimowe-meskie-8;http://wieczynska.pl/zdjecia/kurtkizimowemeskie8.jpg;"KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, ZAPINANA NA ZAMEK, POSIADA MODNE PIKOWANIA, DÓŁ I RĘKAWY ZE ŚCIĄGACZEM ORAZ KIESZENIE PO BOKACH I JEDNĄ W ŚRODKU, MATERIAŁ: 100% POLIESTER; MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR L."
9;1;Kurtka zimowa męska z futerkiem czarna OZONEE JS/M2019/392;kurtki zimowe meskie;1;5;1;90.0;269.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka zimowa męska z futerkiem czarna OZONEE JS/M2019/392;kurtki-zimowe-meskie-9;http://wieczynska.pl/zdjecia/kurtkizimowemeskie9.jpg;KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, ZAPINANA NA ZAMEK, POSIADA KAPTUR Z ODPINANYM FUTERKIEM, DWIE KIESZENIE PO BOKACH I Z PRZODU ORAZ JEDNĄ KIESZEŃ W ŚRODKU I NA RĘKAWIE, MATERIAŁ 100% POLIESTER, MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR XL.
10;1;Kurtka zimowa męska z futerkiem biała OZONEE JS/M2019/281;kurtki zimowe meskie;1;5;1;90.0;269.99 ;50;kurtki zimowe meskie;kurtki zimowe meskie;Kurtka zimowa męska z futerkiem biała OZONEE JS/M2019/281;kurtki-zimowe-meskie-10;http://wieczynska.pl/zdjecia/kurtkizimowemeskie10.jpg;KURTKA MĘSKA Z NAJNOWSZEJ KOLEKCJI, ZAPINANA NA ZAMEK, POSIADA KAPTUR Z ODPINANYM FUTERKIEM, DWIE KIESZENIE PO BOKACH I Z PRZODU ORAZ JEDNĄ KIESZEŃ W ŚRODKU I NA RĘKAWIE, MATERIAŁ 100% POLIESTER, MODEL (182 CM, 87 KG) MA NA SOBIE ROZMIAR XL.
